1400 2.94522254e-03 1.92277943e-03
2.72465134e-03 3.63116170e+01 1.45586162e-05 7.98868484e+01
2.75622400e-03 3.63116176e+01 1.48644634e-05 7.96931873e+01
2.78816252e-03 3.63116240e+01 1.51824345e-05 7.94976810e+01
2.82047113e-03 3.63116244e+01 1.54989301e-05 7.93002058e+01
2.85315412e-03 3.63116249e+01 1.58256504e-05 7.91005509e+01
2.88621584e-03 3.63116250e+01 1.61525936e-05 7.88993718e+01
2.91966067e-03 3.63116274e+01 1.65122905e-05 7.86967570e+01
2.95349306e-03 3.63116452e+01 1.68578550e-05 7.84933896e+01
2.98771748e-03 3.63116480e+01 1.72174417e-05 7.82892632e+01
3.02233849e-03 3.63116438e+01 1.75679352e-05 7.80851270e+01
3.05736068e-03 3.63116347e+01 1.79459963e-05 7.78814303e+01
3.09278870e-03 3.63116341e+01 1.83314485e-05 7.76785133e+01
3.12862725e-03 3.63116194e+01 1.87218931e-05 7.74765609e+01
3.16488109e-03 3.63116075e+01 1.91228191e-05 7.72755743e+01
3.20155504e-03 3.63116250e+01 1.95238119e-05 7.70753646e+01
3.23865395e-03 3.63116261e+01 1.99364490e-05 7.68755723e+01
3.27618276e-03 3.63116132e+01 2.03658981e-05 7.66757111e+01
3.31414644e-03 3.63116187e+01 2.07760300e-05 7.64752328e+01
3.35255003e-03 3.63116164e+01 2.12170345e-05 7.62736041e+01
3.39139864e-03 3.63116104e+01 2.16724671e-05 7.60703866e+01
3.43069742e-03 3.63116181e+01 2.21292588e-05 7.58653061e+01
3.47045158e-03 3.63116182e+01 2.25997705e-05 7.56583011e+01
3.51066641e-03 3.63116243e+01 2.30680701e-05 7.54495404e+01
3.55134724e-03 3.63116078e+01 2.35652461e-05 7.52394036e+01
3.59249946e-03 3.63116142e+01 2.40580096e-05 7.50284265e+01
3.63412855e-03 3.63116413e+01 2.45485885e-05 7.48172163e+01
3.67624003e-03 3.63116282e+01 2.50789375e-05 7.46063500e+01
3.71883949e-03 3.63116015e+01 2.56032233e-05 7.43962717e+01
3.76193258e-03 3.63116015e+01 2.61376062e-05 7.41872090e+01
3.80552502e-03 3.63116081e+01 2.66965822e-05 7.39791242e+01
3.84962260e-03 3.63116145e+01 2.72438421e-05 7.37717136e+01
