145
5.00000000e+00 1.50000000e+02 5.50000000e-01 7.62410595e-01 7.44320987e-01
5.00000000e+00 5.22618290e-01 4.91234065e-04 0.00000000e+00
6.00000000e+00 4.05694543e-01 3.68958255e-04 0.00000000e+00
7.00000000e+00 3.25639517e-01 2.49356348e-04 9.33307890e-19
8.00000000e+00 2.67846757e-01 2.41070187e-04 0.00000000e+00
9.00000000e+00 2.24395452e-01 1.81993802e-04 0.00000000e+00
1.00000000e+01 1.90697998e-01 1.85707733e-04 1.11022302e-16
1.10000000e+01 1.63925385e-01 1.41312365e-04 0.00000000e+00
1.20000000e+01 1.42240577e-01 1.30101862e-04 0.00000000e+00
1.30000000e+01 1.24402523e-01 1.18535471e-04 0.00000000e+00
1.40000000e+01 1.09536504e-01 1.00540802e-04 0.00000000e+00
1.50000000e+01 9.70097390e-02 8.24584827e-05 0.00000000e+00
1.60000000e+01 8.63535141e-02 7.75132527e-05 1.11022302e-16
1.70000000e+01 7.72140074e-02 7.34691434e-05 1.11022302e-16
1.80000000e+01 6.93190643e-02 6.85262248e-05 0.00000000e+00
1.90000000e+01 6.24550624e-02 5.95931803e-05 0.00000000e+00
2.00000000e+01 5.64538293e-02 5.04993868e-05 0.00000000e+00
2.10000000e+01 5.11831687e-02 4.80347553e-05 0.00000000e+00
2.20000000e+01 4.65239054e-02 4.33390957e-05 1.34067659e-18
2.30000000e+01 4.23959589e-02 4.05318014e-05 0.00000000e+00
2.40000000e+01 3.87226729e-02 3.62578531e-05 1.33909482e-17
2.50000000e+01 3.54418613e-02 3.50492917e-05 0.00000000e+00
2.60000000e+01 3.25026806e-02 3.22294934e-05 0.00000000e+00
2.70000000e+01 2.98613399e-02 2.89936496e-05 0.00000000e+00
2.80000000e+01 2.74809693e-02 2.66374657e-05 0.00000000e+00
2.90000000e+01 2.53308494e-02 2.43723502e-05 0.00000000e+00
3.00000000e+01 2.33835298e-02 2.28627902e-05 0.00000000e+00
3.10000000e+01 2.16160629e-02 2.07453146e-05 0.00000000e+00
3.20000000e+01 2.00085799e-02 1.98275253e-05 1.11022302e-16
3.30000000e+01 1.85433922e-02 1.82773019e-05 0.00000000e+00
3.40000000e+01 1.72056667e-02 1.68426930e-05 0.00000000e+00
3.50000000e+01 1.59819661e-02 1.59459602e-05 0.00000000e+00
3.60000000e+01 1.48611767e-02 1.39074015e-05 0.00000000e+00
3.70000000e+01 1.38324469e-02 1.34712061e-05 0.00000000e+00
3.80000000e+01 1.28870636e-02 1.23529766e-05 0.00000000e+00
3.90000000e+01 1.20169608e-02 1.17286960e-05 0.00000000e+00
4.00000000e+01 1.12148583e-02 1.06393283e-05 0.00000000e+00
4.10000000e+01 1.04746852e-02 1.01274262e-05 0.00000000e+00
4.20000000e+01 9.79096614e-03 9.50990003e-06 0.00000000e+00
4.30000000e+01 9.15844297e-03 8.82236105e-06 1.11022302e-16
4.40000000e+01 8.57262879e-03 8.56469119e-06 0.00000000e+00
4.50000000e+01 8.02958945e-03 7.83324870e-06 0.00000000e+00
4.60000000e+01 7.52548387e-03 7.37443386e-06 0.00000000e+00
4.70000000e+01 7.05722417e-03 6.87930921e-06 1.11022302e-16
4.80000000e+01 6.62175227e-03 6.53049316e-06 0.00000000e+00
4.90000000e+01 6.21639541e-03 6.02524280e-06 0.00000000e+00
5.00000000e+01 5.83876512e-03 5.70435844e-06 0.00000000e+00
5.10000000e+01 5.48665815e-03 5.44453015e-06 0.00000000e+00
5.20000000e+01 5.15804879e-03 5.10092876e-06 0.00000000e+00
5.30000000e+01 4.85112178e-03 4.77457687e-06 1.11022302e-16
5.40000000e+01 4.56423146e-03 4.34618528e-06 0.00000000e+00
5.50000000e+01 4.29584540e-03 4.07583738e-06 0.00000000e+00
5.60000000e+01 4.04458941e-03 3.92854199e-06 1.21709194e-18
5.70000000e+01 3.80916181e-03 3.76532398e-06 0.00000000e+00
5.80000000e+01 3.58842422e-03 3.50589372e-06 0.00000000e+00
5.90000000e+01 3.38130190e-03 3.29129836e-06 1.11022302e-16
6.00000000e+01 3.18680420e-03 3.06820637e-06 0.00000000e+00
6.10000000e+01 3.00403110e-03 2.96710789e-06 1.11022302e-16
6.20000000e+01 2.83213557e-03 2.78315736e-06 0.00000000e+00
6.30000000e+01 2.67033855e-03 2.61798813e-06 0.00000000e+00
6.40000000e+01 2.51794756e-03 2.40721681e-06 0.00000000e+00
6.50000000e+01 2.37430376e-03 2.32512486e-06 0.00000000e+00
6.60000000e+01 2.23880121e-03 2.17162267e-06 0.00000000e+00
6.70000000e+01 2.11090089e-03 2.04732977e-06 0.00000000e+00
6.80000000e+01 1.99007534e-03 1.96673978e-06 0.00000000e+00
6.90000000e+01 1.87587821e-03 1.86567951e-06 0.00000000e+00
7.00000000e+01 1.76789604e-03 1.71639019e-06 0.00000000e+00
7.10000000e+01 1.66575906e-03 1.62328451e-06 0.00000000e+00
7.20000000e+01 1.56915067e-03 1.54240685e-06 1.11022302e-16
7.30000000e+01 1.47779153e-03 1.42379346e-06 1.11022302e-16
7.40000000e+01 1.39145929e-03 1.39143527e-06 0.00000000e+00
7.50000000e+01 1.30997965e-03 1.30500336e-06 0.00000000e+00
7.60000000e+01 1.23322824e-03 1.22779188e-06 1.11022302e-16
7.70000000e+01 1.16113626e-03 1.11498700e-06 0.00000000e+00
7.80000000e+01 1.09369122e-03 1.09345434e-06 0.00000000e+00
7.90000000e+01 1.03092973e-03 9.95710676e-07 0.00000000e+00
8.00000000e+01 9.72845660e-04 9.69203084e-07 0.00000000e+00
